epoch,step,train_loss_epoch,train_loss_step,val_loss
96,4829,,6.4259843826293945,
96,4839,,3.0561187267303467,
96,4849,,1.8244785070419312,
96,4849,,,3.839474678039551
96,4849,3.3964245319366455,,
97,4859,,2.7544257640838623,
97,4869,,3.6740405559539795,
97,4879,,6.4259843826293945,
97,4889,,3.0561187267303467,
97,4899,,1.8244785070419312,
97,4899,,,3.839474678039551
97,4899,3.3964245319366455,,
98,4909,,2.7544257640838623,
98,4919,,3.6740405559539795,
98,4929,,6.4259843826293945,
98,4939,,3.0561187267303467,
98,4949,,1.8244785070419312,
98,4949,,,3.839474678039551
98,4949,3.3964245319366455,,
99,4959,,2.7544257640838623,
99,4969,,3.6740405559539795,
99,4979,,6.4259843826293945,
99,4989,,3.0561187267303467,
99,4999,,1.8244785070419312,
99,4999,,,3.839474678039551
99,4999,3.3964245319366455,,
